"","ID","ID-IC","Name","State-District","Long","Lat","1901","1911","1921","1931","1941","1951","1961","1981","1991","2001","2011"
"121","Sha10908","Sha922","Shahjahanpur","09_22",79.909962,27.875241,76500,71800,72700,83800,110200,104900,190175,245085,285489,361516,396639
"122","Mun15207","Mun1024","Munger","10_24",86.474443,25.377987,49900,67600,71800,83300,102700,118600,144180,278055,299759,354755,395961
"123","Roh11790","Roh614","Rohtak","06_14",76.5823,28.898,20400,20400,25300,35300,48200,72000,93292,211180,240682,323502,391906
"124","Bar13894","Bar1909","Barddhaman","19_09",87.8652,23.2339,35100,36000,34700,39700,63000,75400,162611,264023,280685,338275,388345
"125","Cha6110","Cha2713","Chandrapur","27_13",79.297344,19.958329,24613,27363,36096,44257,67125,78336,173268,244952,276579,351910,385350
"126","Vel2024","Vel3304","Vellore","33_04",79.137318,12.921237,43600,49800,50300,57300,71600,106100,134286,229979,275579,336169,382790
"127","Bra6950","Bra2119","Brahmapur","21_19",84.7949,19.3154,25800,31500,32800,37800,43600,62400,158631,208751,220151,323717,382611
"128","Kak5520","Kak2814","Kakinada","28_14",82.234678,16.938618,48100,54200,53400,66000,75200,100000,209530,359519,370227,393770,377223
"129","Har12656","Har513","Hardwar","05_13",78.107155,29.92847,25600,28700,30800,33300,40900,57400,157579,215079,258957,269838,374189
"130","Bhi9021","Bhi824","Bhilwara","08_24",74.6303,25.3452,14300,12100,14282,16479,28500,57024,136470,182396,193047,290459,372434
"131","Sag8311","Sag2311","Sagar","23_11",78.738146,23.843872,42400,46000,39400,48900,64000,80100,208061,299889,277376,313237,369947
"132","Ich4132","Ich2734","Ichalkaranji","27_34",74.4654,16.6858,130000,103000,103000,120000,186000,207500,157595,245318,262735,318571,369782
"133","Vap6340","Vap2425","Vapi","24_25",72.927098,20.366301,NA,NA,NA,NA,NA,10450,63805,109604,116717,227795,368792
"134","Kor13443","Kor2205","Korba","22_05",82.727946,22.366639,NA,NA,NA,NA,NA,NA,71603,120640,126938,319352,368058
"135","Ram11612","Ram905","Rampur","09_05",79.029706,28.806788,78800,74400,73200,74300,89400,134300,141986,216840,257878,305117,358919
"136","Sil14981","Sil1821","Silchar","18_21",92.7778,24.836,10230,NA,12154,15458,20875,43648,121975,190826,208714,306357,358707
"137","Tho160","Tho3328","Thoothukkudi","33_28",78.1292,8.79869,28100,40200,44600,60400,75700,98900,246907,325615,351531,297247,357275
"138","Pal823","Pal326","Palakkad","32_06",76.6572030338,10.7698508056,44400,45500,49100,55200,69600,76700,223844,302774,346147,387512,356874
"139","Alw10675","Alw806","Alwar","08_06",76.6204,27.5678,62480,45540,52864,56522,67750,74112,179883,214132,226162,291851,345864
"140","Far10533","Far929","Farrukhabad-cum-Fatehgarh","09_29",79.57651,27.391413,67400,59700,51600,60400,69500,80400,134086,197949,235180,284354,345055
"141","Eng14954","Eng1906","EnglishBazar","19_06",88.1479,25.0066,113700,114400,114100,117000,123400,130700,147775,208738,221659,260139,343989
"142","Cud2606","Cud2820","Cuddapah","28_20",78.8281,14.4793,18150,19690,23128,26786,35375,48000,148855,268595,305249,277012,341823
"143","Niz5486","Niz2802","Nizamabad","28_02",78.0938,18.6708,12900,17400,15700,18900,32800,55200,82218,193067,253007,303971,334667
"144","Bih15073","Bih1027","Bihar","10_27",85.520463,25.192639,45100,35200,36800,47000,54600,63200,122598,175051,218504,254983,326840
"145","Bij4174","Bij2903","Bijapur","29_03",75.706038,16.829653,23900,27700,32500,39800,49000,65800,91334,147313,193131,253891,326360
"146","Bat12816","Bat314","Bathinda","03_14",74.9415124512999,30.2079610907,NA,NA,NA,NA,NA,NA,64139,150688,188231,252659,322750
"147","juin-05","juin-12","Junagadh","24_12",70.463934,21.52006,34300,35500,33300,39900,58200,62800,129761,165394,187162,257640,322477
